,Address,City,County,FRS Id,Facility Id,Facility Name,Is_Direct_Emitter,Is_Supplier,Latest Reported Industry Type (sectors),Latest Reported Industry Type (subparts),Latitude,Longitude,Parent Company,Parent Ownership %,Primary NAICS Code,State,Unnamed: 0,Last Reporting Year,Zip Code,Total Direct Emissions,Total Supplier Emissions,Total Emissions,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.
367,31 UNION ELECTRIC STEEL ROAD ROUTE 18 NORTH,BURGETTSTOWN,WASHINGTON COUNTY,110000582977.0,1000399,UNION ELEC HARMON CREEK PLT,Yes,No,Metals,"C,Q",40.411133,-80.40839,AMPCO-PITTSBURGH CORP,100.0,331110.0,PA,105953,2023,15021.0,485617.604,0.0,485617.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485617.604,0.0,0.0,0.0,0.0,0.0
368,198 BLAIR BEND DRIVE,LOUDON,Loudon,110000372711.0,1000401,"Primary Products Ingredients Americas, LLC",Yes,Yes,"Other,Suppliers of CO2,Waste","C,II,PP",35.7433,-84.3208,PRIMARY PRODUCTS INGREDIENTS AMERICAS LLC,100.0,311221.0,TN,105954,2023,37774.0,5429604.092,0.0,5429604.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5429604.092,0.0,0.0,0.0,0.0,0.0
369,BUILDING 82 MOWRY ROAD,GAINESVILLE,Alachua,110061429342.0,1000402,University of Florida Cogeneration Plant,Yes,No,Power Plants,"C,D",29.6397,-82.3486,DUKE ENERGY CORP,100.0,221112.0,FL,105955,2023,32611.0,2672857.302,0.0,2672857.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2672857.302,0.0,0.0,0.0,0.0,0.0
370,832 COUNTY ROAD 311,ROTAN,FISHER COUNTY,110013286504.0,1000403,Gold Bond - ROT Plant,Yes,No,Minerals,C,32.83646,-100.44889,SPANGLER COMPANIES INC,100.0,327420.0,TX,105956,2023,79546.0,560366.188,0.0,560366.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560366.188,0.0,0.0,0.0,0.0,0.0
371,15111 APEX POWER PARKWAY,LAS VEGAS,Clark,110027827207.0,1000404,Silverhawk,Yes,No,Power Plants,D,36.4078,-114.9603,BERKSHIRE HATHAWAY INC,100.0,221112.0,NV,105957,2023,89124.0,12073627.404,0.0,12073627.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12073627.404,0.0,0.0,0.0,0.0,0.0
372,3022 COUNTY ROAD 18,OAKLEY,GOVE COUNTY,110016798768.0,1000405,WESTERN PLAINS ENERGY LLC,Yes,No,Other,C,39.12461,-100.738037,WESTERN PLAINS ENERGY LLC,100.0,325193.0,KS,105958,2023,67748.0,649173.442,0.0,649173.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649173.442,0.0,0.0,0.0,0.0,0.0
373,2330 BUOY ST,MEMPHIS,Shelby,110000496838.0,1000407,Cargill Corn Milling,Yes,No,Other,C,35.0828,-90.1372,CARGILL INC,100.0,311221.0,TN,105959,2023,38113.0,1999368.588,0.0,1999368.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999368.588,0.0,0.0,0.0,0.0,0.0
374,1239 Kipke Drive,ANN ARBOR,Washtenaw,110001318823.0,1000408,University of Michigan,Yes,No,Other,C,42.2808,-83.7342,THE REGENTS OF THE UNIVERSITY OF MICHIGAN,100.0,611310.0,MI,105960,2023,48109.0,3796411.588,0.0,3796411.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3796411.588,0.0,0.0,0.0,0.0,0.0
375,1500 N PITCHER ST,KALAMAZOO,Kalamazoo,110064266039.0,1000409,"Graphic Packaging International, Inc.",Yes,No,Pulp and Paper,C,42.3049,-85.5783,GRAPHIC PACKAGING HOLDING CO,100.0,322130.0,MI,105961,2023,49007.0,2100751.688,0.0,2100751.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100751.688,0.0,0.0,0.0,0.0,0.0
376,2300 Harveson Place,ESCONDIDO,San Diego,110045402079.0,1000410,Palomar Energy Center,Yes,No,Power Plants,D,33.1192,-117.118,SEMPRA ENERGY INC,100.0,221112.0,CA,105962,2023,92029.0,12658036.844,0.0,12658036.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12658036.844,0.0,0.0,0.0,0.0,0.0
377,1150 SOUTH METCALF STREET,LIMA,Allen,110000395475.0,1000411,Lima Refinery,Yes,Yes,"Petroleum Product Suppliers,Refineries","C,MM-REF,Y",40.7234,-84.1133,LIMA REFINING CO,100.0,324110.0,OH,105963,2023,45804.0,16956975.118,253904682.4852248,270861657.6032248,0.0,253904682.4852248,0.0,0.0,0.0,0.0,0.0,16956975.118,0.0,0.0,0.0,0.0,0.0
378,120 W 12TH ST,ROANOKE RAPIDS,Halifax,110001483261.0,1000412,Rosemary Power Station,Yes,No,Power Plants,"C,D",36.4525,-77.6594,DOMINION ENERGY INC,100.0,221112.0,NC,89737,2021,27870.0,453629.032,0.0,453629.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453629.032,0.0,0.0,0.0,0.0,0.0
379,1300 SOUTH 2ND STREET,PEKIN,Tazewell,110070242131.0,1000413,"Alto Pekin, LLC",Yes,Yes,"Other,Suppliers of CO2,Waste","C,II,PP",40.555,-89.6628,ALTO INGREDIENTS INC,100.0,311221.0,IL,105964,2023,61554.0,5544540.05,0.0,5544540.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5544540.05,0.0,0.0,0.0,0.0,0.0
380,3429 JAY AVE,BRAYTON,Audubon,110036377266.0,1000414,Exira Station,Yes,No,Power Plants,"C,D",41.5131,-94.9189,WESTERN MINNESOTA MUNICIPAL POWER AGENCY,100.0,221112.0,IA,105965,2023,50042.0,531478.314,0.0,531478.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531478.314,0.0,0.0,0.0,0.0,0.0
381,3201 W CALVERT ST,SOUTH BEND,St. Joseph,110000399970.0,1000415,"South Bend Ethanol, LLC.",Yes,Yes,"Other,Suppliers of CO2","C,PP",41.6552,-86.2962,Verbio North America,100.0,325193.0,IN,105966,2023,46613.0,1619982.792,0.0,1619982.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619982.792,0.0,0.0,0.0,0.0,0.0
382,331 Campbell Road,ALSEY,Scott,110071159476.0,1000417,Alsey Station,Yes,No,Power Plants,"C,D",39.5697,-90.4362,PRAIRIE POWER INC,100.0,221112.0,IL,105967,2023,62694.0,137375.232,0.0,137375.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137375.232,0.0,0.0,0.0,0.0,0.0
383,1 NORTH BROADWAY,GARY,Lake,110000398374.0,1000418,US Steel Corp - Gary Works,Yes,No,"Metals,Waste","C,Q,TT",41.6133,-87.3281,US STEEL CORP,100.0,331110.0,IN,105968,2023,46402.0,139012574.796,0.0,139012574.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139012574.796,0.0,0.0,0.0,0.0,0.0
384,500 REFINERY ROAD,BIG SPRING,Howard,110071159477.0,1000419,C. R. Wing Cogeneration Plant,Yes,No,Power Plants,D,32.2722,-101.4222,BERKSHIRE HATHAWAY INC,91.14,221112.0,TX,105969,2023,79720.0,2140617.32,0.0,2140617.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140617.32,0.0,0.0,0.0,0.0,0.0
385,289 BUFFALO AVE,FREEPORT,Nassau,110019162671.0,1000420,Equus Power I,Yes,No,Power Plants,D,40.6447,-73.5683,J POWER USA DEVELOPMENT CO LTD,100.0,221112.0,NY,105970,2023,11520.0,626888.244,0.0,626888.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626888.244,0.0,0.0,0.0,0.0,0.0
386,310 East Frontage Road,Kaukauna,Outagamie,110023013228.0,1000421,Fox Energy Center,Yes,No,Power Plants,"C,D",44.3204,-88.2089,WEC Energy Group Inc,100.0,221112.0,WI,105971,2023,54130.0,15542024.376,0.0,15542024.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15542024.376,0.0,0.0,0.0,0.0,0.0
387,17171 S CENTRAL AVE,CARSON,Los Angeles,110000508745.0,1000422,ICEGEN,Yes,No,Power Plants,D,33.8759,-118.2491,Enery Holdings LLC,100.0,221112.0,CA,105972,2023,90746.0,719835.34,0.0,719835.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719835.34,0.0,0.0,0.0,0.0,0.0
388,2040 AGUA MANSA ROAD,COLTON,San Bernardino,110038082302.0,1000423,Agua Mansa Power,Yes,No,Power Plants,D,34.0414,-117.3603,CITY OF COLTON CALIFORNIA,100.0,221112.0,CA,105973,2023,92324.0,138148.63999999998,0.0,138148.63999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138148.63999999998,0.0,0.0,0.0,0.0,0.0
389,1200 70TH ST,SHAKOPEE,Scott,110009397535.0,1000424,Blue Lake Generating Plant,Yes,No,Power Plants,"C,D",44.7855,-93.4315,XCEL ENERGY INC,100.0,221112.0,MN,105974,2023,55379.0,1048101.362,0.0,1048101.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048101.362,0.0,0.0,0.0,0.0,0.0
390,749 FRONTAGE ROAD,PRINCETON,MERCER COUNTY,110043972485.0,1000425,MERCER COUNTY LANDFILL,Yes,No,Waste,HH,37.330936,-81.128991,MERCER COUNTY SOLID WASTE AUTHORITY,100.0,562212.0,WV,105975,2023,24740.0,747886.0,0.0,747886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747886.0,0.0,0.0,0.0,0.0,0.0
391,5600 VIRGINIA AVE,CHARLESTON,Charleston,110070747709.0,1000426,"WestRock Charleston Kraft, LLC",Yes,No,"Pulp and Paper,Waste","AA,C,TT",32.8994,-79.9694,WESTROCK CO,100.0,322120.0,SC,105976,2023,29423.0,9526135.138,0.0,9526135.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9526135.138,0.0,0.0,0.0,0.0,0.0
392,455 W. FACTORY ST.,WABASH,WABASH COUNTY,110000401725.0,1000427,PAPERWORKS INDUSTRIES INC,Yes,No,Pulp and Paper,C,40.795056,-85.825611,PWI INC (PAPERWORKS INDUSTRIES INC),100.0,322130.0,IN,105977,2023,46992.0,761760.932,0.0,761760.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761760.932,0.0,0.0,0.0,0.0,0.0
393,1301 WYNOOSKI STREET,NEWBERG,YAMHILL,110000487072.0,1000428,WestRock Northwest LLC - Newberg Mill,Yes,No,Pulp and Paper,C,45.288333,-122.960277,WESTROCK CO,100.0,322122.0,OR,49038,2016,97132.0,167950.51,0.0,167950.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167950.51,0.0,0.0,0.0,0.0,0.0
394,9600 RIVER ROAD,PENNSAUKEN,CAMDEN COUNTY,110015096484.0,1000429,Pennsauken Sanitary Landfill,Yes,No,Waste,"C,HH",39.9889,-75.0417,POLLUTION CONTROL FINANCING AUTHORITY,100.0,562212.0,NJ,105978,2023,8110.0,980838.8,0.0,980838.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980838.8,0.0,0.0,0.0,0.0,0.0
395,301 VISTA DEL MAR,EL SEGUNDO,Los Angeles,110000520213.0,1000431,El Segundo,Yes,No,Power Plants,D,33.9106,-118.425,CLEARWAY ENERGY INC,100.0,221112.0,CA,105979,2023,90245.0,5537212.278,0.0,5537212.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5537212.278,0.0,0.0,0.0,0.0,0.0
396,76 INDEPENDENCE WAY,OSWEGO,Oswego,110001600009.0,1000432,Independence,Yes,No,Power Plants,"C,D",43.495,-76.4508,Vistra Corp,100.0,221112.0,NY,105980,2023,13126.0,25422960.28,0.0,25422960.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25422960.28,0.0,0.0,0.0,0.0,0.0
397,770 ISLAND ST,KAUKAUNA,Outagamie,110043811989.0,1000433,Island Street Peaking Plant,Yes,No,Power Plants,D,44.2761,-88.2656,WPPI ENERGY,100.0,221112.0,WI,15158,2012,54130.0,19197.88,0.0,19197.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19197.88,0.0,0.0,0.0,0.0,0.0
398,3737 HIGHWAY 3 NORTH,REDWOOD,WARREN COUNTY,110070202879.0,1000434,International Paper - Vicksburg Mill,Yes,No,"Pulp and Paper,Waste","AA,C,TT",32.5278,-90.772239,INTERNATIONAL PAPER CO,100.0,322130.0,MS,105981,2023,39156.0,1902832.804,0.0,1902832.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902832.804,0.0,0.0,0.0,0.0,0.0
399,,,,,1000435,Merit Energy Co. South Texas 220 Gulf Coast Basin,,,,,,,MERIT ENERGY CO LLC,100.0,,,105982,2023,,3422778.478,0.0,3422778.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3422778.478,0.0,0.0,0.0,0.0
400,2096 WEST 300 NORTH,MONA,Juab,110017841601.0,1000436,Currant Creek Power Project,Yes,No,Power Plants,"C,D",39.8223,-111.894,BERKSHIRE HATHAWAY INC,100.0,221112.0,UT,105983,2023,84645.0,13192155.124,0.0,13192155.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13192155.124,0.0,0.0,0.0,0.0,0.0
401,1 FAZIO LANE,MANKATO,Blue Earth,110025213061.0,1000437,Mankato Energy Center,Yes,No,Power Plants,"C,D",44.1965,-94.0099,SOUTHWEST GENERATION OPERATING CO LLC,100.0,221112.0,MN,105984,2023,56001.0,7016776.454,0.0,7016776.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7016776.454,0.0,0.0,0.0,0.0,0.0
402,1015 S STOCKTON BLVD,RIPON,Stanislaus,110024436608.0,1000438,Ripon Generation Station,Yes,No,Power Plants,D,37.7315,-121.116,MODESTO IRRIGATION DISTRICT INC,100.0,221112.0,CA,105985,2023,95366.0,264525.264,0.0,264525.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264525.264,0.0,0.0,0.0,0.0,0.0
403,37667 East Highway 299,Burney,,,1000439,PG&E BURNEY COMPRESSOR STATION,Yes,No,Petroleum and Natural Gas Systems,"C,W-NGTC",41.0249681,-121.6932437,PG&E CORP,100.0,221210.0,CA,105986,2023,96013.0,665136.4400000001,0.0,665136.4400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665136.4400000001,0.0,0.0,0.0,0.0,0.0
404,3830 W Grant St,Milwaukee,MILWAUKEE COUNTY,110001922689.0,1000440,Malteurop North America Inc,Yes,No,Other,C,43.00472,-87.96155,MALTEUROP NORTH AMERICA INC,100.0,311213.0,WI,97890,2022,53215.0,254657.934,0.0,254657.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254657.934,0.0,0.0,0.0,0.0,0.0
405,2800 Great Bear Avenue,Great Falls,CASCADE COUNTY,110054620488.0,1000441,Malteurop North America Inc,Yes,No,Other,C,47.535981,-111.412452,MALTEUROP NORTH AMERICA INC,100.0,311213.0,MT,105987,2023,59404.0,407321.524,0.0,407321.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407321.524,0.0,0.0,0.0,0.0,0.0
406,6648 Highway 15 North,Farmerville,UNION PARISH,110000743474.0,1000442,Foster Farms Farmerville Complex,Yes,No,"Other,Waste","C,II",32.834057,-92.43201,FOSTER FARMS,100.0,311615.0,LA,105988,2023,71241.0,916595.552,0.0,916595.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916595.552,0.0,0.0,0.0,0.0,0.0
407,1265 Bamberger Road,PAYSON,Utah,110028051523.0,1000444,Nebo Power Station,Yes,No,Power Plants,D,40.0614,-111.7294,UAMPS,100.0,221112.0,UT,105989,2023,84651.0,2655456.612,0.0,2655456.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655456.612,0.0,0.0,0.0,0.0,0.0
408,N5845 BRIDGEWOOD ROAD,PLYMOUTH,Sheboygan,110071160633.0,1000445,Sheboygan Falls Energy Facility,Yes,No,Power Plants,"C,D",43.7519,-87.8783,ALLIANT ENERGY CORP,100.0,221112.0,WI,105990,2023,53073.0,1948864.084,0.0,1948864.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1948864.084,0.0,0.0,0.0,0.0,0.0
409,450 TS POWER PLANT ROAD,BATTLE MOUNTAIN,Eureka,110039075675.0,1000446,TS Power Plant,Yes,No,Power Plants,D,40.7458,-116.5297,BARRICK GOLD OF NORTH AMERICA INC,61.5,221112.0,NV,105991,2023,89820.0,16479990.532,0.0,16479990.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16479990.532,0.0,0.0,0.0,0.0,0.0
410,6897 CONSOLIDATED WAY,SAN DIEGO,San Diego,110000609994.0,1000447,Miramar Energy Facility,Yes,No,Power Plants,D,32.8769,-117.1664,SEMPRA ENERGY INC,100.0,221112.0,CA,105992,2023,92121.0,690654.352,0.0,690654.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690654.352,0.0,0.0,0.0,0.0,0.0
411,2300 PULLMAN ST,AMES,Story,110028014529.0,1000448,Dayton Avenue Substation,Yes,No,Power Plants,"C,D",42.0269,-93.5828,CITY OF AMES IOWA,100.0,221112.0,IA,105993,2023,50010.0,11369.568,0.0,11369.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11369.568,0.0,0.0,0.0,0.0,0.0
412,24400 South Harper Road,Peculiar,Cass,110040992343.0,1000449,South Harper Generating Station,Yes,No,Power Plants,D,38.6803,-94.4824,EVERGY INC,100.0,221112.0,MO,105994,2023,64078.0,692592.684,0.0,692592.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692592.684,0.0,0.0,0.0,0.0,0.0
413,50 ZORN BOULEVARD,Yaphank,Suffolk,110071160634.0,1000450,Caithness Long Island Energy Center,Yes,No,Power Plants,"C,D",40.8142,-72.9403,CAITHNESS LONG ISLAND LLC,100.0,221112.0,NY,105995,2023,11719.0,12052038.06,0.0,12052038.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12052038.06,0.0,0.0,0.0,0.0,0.0
414,HWY 37,GROTON,Brown,110040566919.0,1000451,Groton Generating Station,Yes,No,Power Plants,D,45.3718,-98.1032,BASIN ELECTRIC POWER COOPERATIVE,100.0,221112.0,SD,105996,2023,57445.0,745759.792,0.0,745759.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745759.792,0.0,0.0,0.0,0.0,0.0
415,1306 Amoco Drive,Wando,Berkeley,110000353705.0,1000452,INEOS US Chemicals Company CR Plant,Yes,No,Chemicals,C,32.9701,-79.8905,INEOS US CHEMICALS CO,100.0,325110.0,SC,105997,2023,29492.0,1435947.53,0.0,1435947.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435947.53,0.0,0.0,0.0,0.0,0.0
416,1400 PACHECO PASS HWY,GILROY,Santa Clara,110001151324.0,1000453,"Calpine Gilroy Cogen, LP",Yes,No,Power Plants,"C,D",37.0001,-121.5367,CPN MANAGEMENT LP,100.0,221112.0,CA,105998,2023,95020.0,967672.232,0.0,967672.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967672.232,0.0,0.0,0.0,0.0,0.0
417,1825 NORTH PIONEER LANE,VINEYARD,Utah,110063611890.0,1000454,Lake Side Power Plant,Yes,No,Power Plants,"C,D",40.3311,-111.7547,BERKSHIRE HATHAWAY INC,100.0,221112.0,UT,105999,2023,84058.0,24407276.808,0.0,24407276.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24407276.808,0.0,0.0,0.0,0.0,0.0
418,81566 KALLUNKI RD,CLATSKANIE,Columbia,110037786465.0,1000455,Port Westward,Yes,No,Power Plants,"C,D",46.1792,-123.1717,PORTLAND GENERAL ELECTRIC CO,100.0,221112.0,OR,106000,2023,97016.0,14752147.608000001,0.0,14752147.608000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14752147.608000001,0.0,0.0,0.0,0.0,0.0
419,380 PATTON AVE,WEST BABYLON,Suffolk,110023138451.0,1000456,Pinelawn Power,Yes,No,Power Plants,D,40.7358,-73.3881,J POWER USA DEVELOPMENT CO LTD,100.0,221112.0,NY,106001,2023,11704.0,1017122.928,0.0,1017122.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017122.928,0.0,0.0,0.0,0.0,0.0
420,164 WEST MAGNOLIA BOULEVARD,BURBANK,Los Angeles,110000525030.0,1000457,Magnolia,Yes,No,Power Plants,"C,D",34.1788,-118.3153,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY,100.0,221112.0,CA,106002,2023,91502.0,7632955.164,0.0,7632955.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7632955.164,0.0,0.0,0.0,0.0,0.0
421,2611 E NORTH AVE,FRESNO,Fresno,110065719958.0,1000458,"Malaga Power, LLC",Yes,No,Power Plants,D,36.6894,-119.7399,MIDDLE RIVER POWER LLC,100.0,926130.0,CA,106003,2023,93725.0,494458.56,0.0,494458.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494458.56,0.0,0.0,0.0,0.0,0.0
422,749 BLEWETT FALLS ROAD,LILESVILLE,Anson,110020901194.0,1000459,NCEMC Anson Plant,Yes,No,Power Plants,"C,D",34.9708,-79.9208,NORTH CAROLINA ELECTRIC MEMBERSHIP CORP,100.0,221112.0,NC,106004,2023,28091.0,1549046.182,0.0,1549046.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549046.182,0.0,0.0,0.0,0.0,0.0
423,900 Old Augusta Road Central,RINCON,Effingham,110071160714.0,1000460,McIntosh Combined Cycle Facility,Yes,No,Power Plants,"C,D",32.3478,-81.1828,THE SOUTHERN CO,100.0,221112.0,GA,106005,2023,31326.0,44339071.172,0.0,44339071.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44339071.172,0.0,0.0,0.0,0.0,0.0
424,2049 BARTOW AVENUE,BRONX,Bronx,110071160715.0,1000461,Riverbay Corp. - Co-Op City,Yes,No,Other,C,40.8697,-73.8258,RIVERBAY CORP-CO-OP CITY,100.0,531110.0,NY,106006,2023,10475.0,1767250.6539999999,0.0,1767250.6539999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767250.6539999999,0.0,0.0,0.0,0.0,0.0
425,162 COOPERATIVE WAY,HAMLET,Richmond,110022483258.0,1000462,NCEMC Hamlet Plant,Yes,No,Power Plants,"C,D",34.8422,-79.7367,NORTH CAROLINA ELECTRIC MEMBERSHIP CORP,100.0,221112.0,NC,106007,2023,28345.0,863221.066,0.0,863221.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863221.066,0.0,0.0,0.0,0.0,0.0
426,755 MURRAY DRIVE,FARMINGTON,San Juan,110071160716.0,1000463,Bluffview Power Plant,Yes,No,Power Plants,D,36.7164,-108.2153,CITY OF FARMINGTON NEW MEXICO,100.0,221112.0,NM,106008,2023,87401.0,2217887.532,0.0,2217887.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217887.532,0.0,0.0,0.0,0.0,0.0
427,600 S WASHINGTON ROAD,TURLOCK,Stanislaus,110023013718.0,1000464,Walnut Energy Center,Yes,No,Power Plants,D,37.4878,-120.8956,TURLOCK IRRIGATION DISTRICT EMPLOYEES ASSOC,100.0,221112.0,CA,106009,2023,95380.0,8305975.444,0.0,8305975.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8305975.444,0.0,0.0,0.0,0.0,0.0
428,20 WYODAK ROAD,GILLETTE,Campbell,110069499331.0,1000465,Wygen II,Yes,No,Power Plants,D,44.2911,-105.3815,BLACK HILLS CORP,100.0,221112.0,WY,106010,2023,82718.0,11449895.732,0.0,11449895.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11449895.732,0.0,0.0,0.0,0.0,0.0
429,FOOT OF EDMUND ST,PEORIA,Peoria,110071162387.0,1000466,BioUrja Renewables LLC,Yes,No,Other,C,40.6776,-89.6069,BIOURJA GROUP,100.0,325193.0,IL,106011,2023,61602.0,8119898.492,0.0,8119898.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8119898.492,0.0,0.0,0.0,0.0,0.0
430,31 03 20TH AVE,ASTORIA,Queens,110071160717.0,1000467,Poletti 500 MW CC,Yes,No,Power Plants,D,40.7881,-73.9056,NEW YORK POWER AUTHORITY,100.0,221112.0,NY,106012,2023,11105.0,15721026.624,0.0,15721026.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15721026.624,0.0,0.0,0.0,0.0,0.0
431,HIGHWAY 65,CAMBRIDGE,Isanti,110028022869.0,1000468,Cambridge Station,Yes,No,Power Plants,"C,D",45.601,-93.2081,GREAT RIVER ENERGY,100.0,221112.0,MN,106013,2023,55008.0,444718.108,0.0,444718.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444718.108,0.0,0.0,0.0,0.0,0.0
432,26226 ANTELOPE RD,ROMOLAND,Riverside,110030747011.0,1000469,Inland Empire Energy Center,Yes,No,Power Plants,"C,D",33.7393,-117.1701,GENERAL ELECTRIC CO,100.0,221112.0,CA,81621,2020,92585.0,6005290.188,0.0,6005290.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6005290.188,0.0,0.0,0.0,0.0,0.0
433,1937 COUNTY ROAD 390,DENVER CITY,Yoakum,110031504959.0,1000470,"Mustang Station Units 4, 5 & 6",Yes,No,Power Plants,"C,D",32.9748,-102.7432,GOLDEN SPREAD ELECTRIC COOPERATIVE INC,100.0,221112.0,TX,106014,2023,79323.0,4774838.264,0.0,4774838.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4774838.264,0.0,0.0,0.0,0.0,0.0
434,5901 PAYTON AVE,RIVERSIDE,Riverside,110040565242.0,1000471,Riverside Energy Resource Center,Yes,No,Power Plants,D,33.9636,-117.4528,CITY OF RIVERSIDE PUBLIC UTILITY,100.0,221112.0,CA,106015,2023,92504.0,524965.86,0.0,524965.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524965.86,0.0,0.0,0.0,0.0,0.0
435,301 LAKE CROOK ROAD,PARIS,Lamar,110028042516.0,1000472,Paris Energy Center,Yes,No,Power Plants,D,33.6968,-95.5577,PARIS GENERATION LP,100.0,221112.0,TX,106016,2023,75460.0,3135643.1319999998,0.0,3135643.1319999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3135643.1319999998,0.0,0.0,0.0,0.0,0.0
436,101 Airborne Road,Dubuque,DUBUQUE COUNTY,110071149964.0,1000473,DUBUQUE METROPOLITAN SANITARY LANDFILL,Yes,No,Waste,"C,HH",42.5129,-90.6818,HOUSEHOLD HAZARDOUS MATERIALS,100.0,562212.0,IA,106017,2023,52003.0,594542.546,0.0,594542.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594542.546,0.0,0.0,0.0,0.0,0.0
437,1229 Marlboro Road,Old Bridge,MIDDLESEX COUNTY,110071160791.0,1000474,USA Refrigerants,No,Yes,,OO,40.35925,-74.31616,USA UNITED SUPPLIERS OF AMERICA INC,100.0,424690.0,NJ,106018,2023,8857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,1731 Hunterstown Road,GETTYSBURG,Adams,110022447574.0,1000475,Hunterstown Combined Cycle,Yes,No,Power Plants,"C,D",39.8725,-77.1672,PLATINUM EQUITY LLC,100.0,221112.0,PA,106019,2023,17325.0,26432136.794,0.0,26432136.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26432136.794,0.0,0.0,0.0,0.0,0.0
